title,date,details_url,content
Goldhirsh Foundation Gives $1M in Grants via My LA2050 Grants Challenge,"December 12, 2016",http://www.pasadenanow.com/main/goldhirsh-foundation-gives-1m-in-grants-via-my-la2050-grants-challenge/,"12 organizations participating in crowdsourced and crowd-voted challenge selected as winners to receive grants ranging from $25,000 to $100,000 to better Los Angeles."
UCLA Groups Enter Grant Competition to Improve LA for the Future,"November 17, 2016",http://dailybruin.com/2016/11/17/ucla-groups-enter-grant-competition-to-improve-la-for-the-future/,The Daily Bruin covers two UCLA-affiliated groups that applied for the 2016 My LA2050 Grants Challenge.
My LA2050 Wants to Make Sure Los Angeles Grows Creatively,"October 21, 2016",https://www.wearemitu.com/newsfeed/myla2050-wants-to-make-sure-los-angeles-grows-creatively/,"Mitú writes about the LA2050 initiative as they promote their submission for the 2016 My LA2050 Grants Challenge. Their proposal, the mitú Accelerator, seeks out the best and freshest Latino talent a chance to create the kind of content that has long been missing: Latino talent. The mitú Accelerator also offers mentorship of up and coming Latino content creators."
20 Of Our Favorite Events In Los Angeles This Week,"October 17, 2016",http://laist.com/2016/10/17/20_of_our_favorite_events_in_los_an_48.php,LA2050's
"Leading from the Heart, C-Suite Quarterly","September 29, 2016",http://csq.com/2016/10/tara-roth-leading-heart/#.WAErZ5MrKRu,"Tara Roth, president of the Goldhirsh Foundation, tells C-Suite Quarterly Magazine how she sees Los Angeles as the epicenter for innovation and social entrepreneurship."
"LA2050 and Crowdsourcing Philanthropy for LA’s Future, USC Price Bedrosian Center","September 21, 2016",https://soundcloud.com/uscbedrosian/la2050-and-crowdsourcing-philanthropy-for-las-future,"This episode of USC Bedrosian's LA#itself podcast features a conversation with Angie Jean-Marie, Social Innovation and Marketing Manager at the Goldhirsh Foundation, and her predecessor Shauna Nep, Senior Philanthropic Advisor at Fundamental. Jean-Marie and Nep discuss the origins for the the Goldhirsh Foundation's crowdsourcing approach for philanthropy, the inherent opportunities and challenges, and how LA2050's staff makes annual micro-adjustments to capitalize on Goldhirsh’s long-term funding agenda."
Grand Park New: 'Paper Airplane' Canopy,"September 16, 2016",http://www.nbclosangeles.com/news/local/Grand-Park-New-Paper-Airplane-Canopy-393769601.html,"""Paper Airplanes"" is a public art installation that debuted in Grand Park on Tuesday, Sept 13, 2016. This installation was made possible by 2015 My LA2050 grant winner, Grand Park."
"LA's big plan to change the way we move, CurbedLA","September 9, 2016",http://la.curbed.com/2016/9/9/12824240/self-driving-cars-plan-los-angeles,"The City of Los Angeles and the Los Angeles Department of Transportation have released Urban Mobility in the Digital Age, a new report that provides a roadmap for the city’s transportation future. The report is the first by a city in nation to reveal how it will make shared, self-driving vehicles a key part of its public transit future. The report was the product of an LADOT fellowship funded by the Goldhirsh Foundation, and addresses the city’s plan to combine self-driving vehicles with on-demand sharing services to create a suite of smarter, more efficient transit options."
"Tech Roundup: IPO Frenzy Hits LA, LA2050 Kicks Off and More, Built in LA","September 8, 2016",http://www.builtinla.com/2016/09/08/tech-roundup,"Built in LA, Los Angeles' hub for tech news and startup jobs, featured the 2016 My LA2050 Grants Challenge in its Tech Roundup."
"How to Survive in LA Without Driving, PC Magazine","August 2, 2016",http://www.pcmag.com/news/346663/how-to-survive-in-l-a-without-driving,"Ashley Z. Hand, the Transportation Technology Strategist fellow funded by the Goldhirsh Foundation, tells PC Magazine how her role is creating a city-wide strategy to build a tech-savvy transportation system for Angelenos."
"The 100 Best Non-Profit Website Designs of 2016, everyaction","July 6, 2016",https://act.everyaction.com/best-nonprofit-websites-2016/creative/goldhirshfoundation,The Goldhirsh Foundation's website was named one of the 100 best non-profit website designs of 2016.
"2,040 LAUSD Students Registered to Vote Ahead of Primary","June 9, 2016",http://laschoolreport.com/la-youth-vote/,"Through a #PartyatthePolls LA2050 Grant, the United Way dispersed $500 to schools for activities to encourage high school students to register and vote. The activities varied at each school and included rallies, DJs, cookies, posters and raspados. About 2,040 LA Unified students registered to vote at 28 schools, according to data from the United Way. About 60 percent of those students were eligible to vote in Tuesday’s primary; some were not yet 18 years old but could pre-register."
Did you vote? Celebrate democracy with a,"June 7, 2016",https://www.timeout.com/los-angeles/blog/did-you-vote-celebrate-democracy-with-a-partyatthepolls-060716,The city-wide LA2050 initiative is hosting the final events of their
"A Big Southern California Funding Partnership Worth Talking About, Inside Philanthropy","June 3, 2016",http://www.insidephilanthropy.com/los-angeles/2016/6/3/a-big-southern-california-funding-partnership-worth-talking.html,"The Annenberg Foundation and Roy and Patricia Disney Family Foundation's involvement in the My LA2050 Grants Challenge is big news, not just because of the additional funding but also because more Southern California funders are being drawn to a more democratic form of philanthropy."
"50 influential people in LA tech you should follow on Twitter, Built in LA","May 26, 2016",http://www.builtinla.com/2016/05/25/los-angeles-tech-influencers-twitter,"Goldhirsh Foundation president, Tara Roth, is featured in article listing leaders from LA's tech and startup community."
ComNetwork LA: An Evening with Tara Roth,"May 17, 2016",http://www.comnetwork.org/comnetworkla/,"Tara Roth was the honored speaker for the Communications Network LA Leadership Group. Roth, interviewed by Angie Jean-Marie, spoke about bridging the worlds of marketing, media, and philanthropy throughout her career. Roth also shared insights about the power of social sector communications to spark innovation and how storytellers can help shape a better future for Los Angeles."
Announcing $1.4 million in support for cities and sustainability through Partners for Places,"May 6, 2016",http://www.fundersnetwork.org/blog/announcing-1.4-million-in-support-for-cities-and-sustainability-throug,"Goldhirsh Foundation grantee, <a href=""peopleforparks.org"">People for Parks</a>, was selected by the Funders Network to receive a $75,000 matching grant which leverages the award received via the My LA2050 Grants Challenge to support their community school parks project."
